Date,DMP
2/01/2015,15.57
5/01/2015,15.52
6/01/2015,15.4
7/01/2015,15.56
8/01/2015,15.69
9/01/2015,15.8
12/01/2015,15.67
13/01/2015,15.35
14/01/2015,15.35
15/01/2015,15.1
16/01/2015,15.49
20/01/2015,15.34
21/01/2015,15.16
22/01/2015,14.9
23/01/2015,14.96
26/01/2015,15.44
27/01/2015,14.96
28/01/2015,14.95
29/01/2015,14.74
30/01/2015,14.69
2/02/2015,14.9
3/02/2015,15.21
4/02/2015,15.44
5/02/2015,15.4
6/02/2015,15.35
9/02/2015,15.25
10/02/2015,15.3
11/02/2015,15.4
12/02/2015,15.5
13/02/2015,15.59
17/02/2015,15.69
18/02/2015,15.74
19/02/2015,16.99
20/02/2015,18.78
23/02/2015,19.1
24/02/2015,18.95
25/02/2015,17.68
26/02/2015,22.6
27/02/2015,24.01
2/03/2015,23.82
3/03/2015,23.55
4/03/2015,23.75
5/03/2015,23.24
6/03/2015,23.46
9/03/2015,23.6
10/03/2015,22.62
11/03/2015,23.13
12/03/2015,23.13
13/03/2015,23.43
16/03/2015,25
17/03/2015,24.4
18/03/2015,23.6
19/03/2015,23.39
20/03/2015,23.55
23/03/2015,23.72
24/03/2015,23.86
25/03/2015,23.57
26/03/2015,23.99
27/03/2015,23.75
30/03/2015,23.84
31/03/2015,23.6
1/04/2015,23.32
2/04/2015,22.99
6/04/2015,23.48
7/04/2015,23.64
8/04/2015,23.85
9/04/2015,23.85
10/04/2015,23.6
13/04/2015,23.65
14/04/2015,23.48
15/04/2015,23.49
16/04/2015,23.75
17/04/2015,23.4
20/04/2015,23.08
21/04/2015,23.11
22/04/2015,23.11
23/04/2015,22.65
24/04/2015,20.32
27/04/2015,20.65
28/04/2015,20.17
29/04/2015,19.9
30/04/2015,19.02
1/05/2015,19
4/05/2015,18.85
5/05/2015,18.39
6/05/2015,18
7/05/2015,18.2
8/05/2015,18.59
11/05/2015,18.1
12/05/2015,18.29
13/05/2015,18.35
14/05/2015,18.92
15/05/2015,18.82
18/05/2015,18.72
19/05/2015,18.68
20/05/2015,18.88
21/05/2015,19.28
