Date,UNH
1/02/2015 16:00,100.78
1/05/2015 16:00,99.12
1/06/2015 16:00,98.92
1/07/2015 16:00,99.93
1/08/2015 16:00,104.7
1/09/2015 16:00,103.72
1/12/2015 16:00,102.55
1/13/2015 16:00:00,103.07
1/14/2015 16:00:00,103.33
1/15/2015 16:00:00,104.46
1/16/2015 16:00:00,105.77
1/20/2015 16:00:00,105.62
1/21/2015 16:00:00,109.32
1/22/2015 16:00:00,113.85
1/23/2015 16:00:00,112
1/26/2015 16:00:00,111.61
1/27/2015 16:00:00,110.01
1/28/2015 16:00:00,108.46
1/29/2015 16:00:00,109.39
1/30/2015 16:00:00,106.25
2/02/2015 16:00,107.29
2/03/2015 16:00,107.81
2/04/2015 16:00,107.92
2/05/2015 16:00,108.82
2/06/2015 16:00,107.6
2/09/2015 16:00,106.49
2/10/2015 16:00,108.97
2/11/2015 16:00,109.85
2/12/2015 16:00,109.84
2/13/2015 16:00:00,109.44
2/17/2015 16:00:00,109.76
2/18/2015 16:00:00,109.77
2/19/2015 16:00:00,110.03
2/20/2015 16:00:00,112.62
2/23/2015 16:00:00,116.4
2/24/2015 16:00:00,115.43
2/25/2015 16:00:00,114.05
2/26/2015 16:00:00,113.66
2/27/2015 16:00:00,113.63
3/02/2015 16:00,114.4
3/03/2015 16:00,112.86
3/04/2015 16:00,113.82
3/05/2015 16:00,114.79
3/06/2015 16:00,112.88
3/09/2015 16:00,114.9
3/10/2015 16:00,112.46
3/11/2015 16:00,112.72
3/12/2015 16:00,114.88
3/13/2015 16:00:00,115.25
3/16/2015 16:00:00,118.52
3/17/2015 16:00:00,117.6
3/18/2015 16:00:00,119.96
3/19/2015 16:00:00,120.76
3/20/2015 16:00:00,119.14
3/23/2015 16:00:00,119.04
3/24/2015 16:00:00,118.12
3/25/2015 16:00:00,116.54
3/26/2015 16:00:00,116.25
3/27/2015 16:00:00,118.01
3/30/2015 16:00:00,121
3/31/2015 16:00:00,118.29
4/01/2015 16:00,117.45
4/02/2015 16:00,117.36
4/06/2015 16:00,117.7
4/07/2015 16:00,117.35
4/08/2015 16:00,118.19
4/09/2015 16:00,118.55
4/10/2015 16:00,119
4/13/2015 16:00:00,119.37
4/14/2015 16:00:00,119.92
4/15/2015 16:00:00,117.32
4/16/2015 16:00:00,121.6
4/17/2015 16:00:00,118.71
4/20/2015 16:00:00,118.58
4/21/2015 16:00:00,119.28
4/22/2015 16:00:00,117.81
4/23/2015 16:00:00,118.26
4/24/2015 16:00:00,118.69
4/27/2015 16:00:00,116.24
4/28/2015 16:00:00,117.59
4/29/2015 16:00:00,113.61
4/30/2015 16:00:00,111.4
5/01/2015 16:00,113.2
5/04/2015 16:00,114.56
5/05/2015 16:00,113.37
5/06/2015 16:00,113.49
5/07/2015 16:00,114.76
5/08/2015 16:00,115.68
5/11/2015 16:00,114.77
5/12/2015 16:00,114.64
5/13/2015 16:00:00,115.86
5/14/2015 16:00:00,118.53
5/15/2015 16:00:00,119.33
5/18/2015 16:00:00,119.8
5/19/2015 16:00:00,120.55
5/20/2015 16:00:00,121.24
5/21/2015 16:00:00,120.46
5/22/2015 16:00:00,119.59
5/26/2015 16:00:00,118.24
5/27/2015 16:00:00,119.45
5/28/2015 16:00:00,119.62
5/29/2015 16:00:00,120.21
6/01/2015 16:00,119.86
6/02/2015 16:00,117.75
6/03/2015 16:00,118.35
6/04/2015 16:00,116.65
6/05/2015 16:00,116.53
6/08/2015 16:00,116.91
6/09/2015 16:00,116.99
6/10/2015 16:00,118.55
6/11/2015 16:00,119.32
6/12/2015 16:00,117.65
6/15/2015 16:00:00,118.98
6/16/2015 16:00:00,121.55
6/17/2015 16:00:00,119.74
6/18/2015 16:00:00,120.89
6/19/2015 16:00:00,120.33
6/22/2015 16:00:00,120.25
6/23/2015 16:00:00,122.74
6/24/2015 16:00:00,119.17
6/25/2015 16:00:00,122.33
6/26/2015 16:00:00,123.25
6/29/2015 16:00:00,121.19
6/30/2015 16:00:00,122
7/01/2015 16:00,123.38
7/02/2015 16:00,121.81
7/06/2015 16:00,122.16
7/07/2015 16:00,120.7
7/08/2015 16:00,118.78
7/09/2015 16:00,119.34
7/10/2015 16:00,122.15
7/13/2015 16:00:00,122.45
7/14/2015 16:00:00,125
7/15/2015 16:00:00,125.86
7/16/2015 16:00:00,124.93
7/17/2015 16:00:00,123.85
7/20/2015 16:00:00,122.65
7/21/2015 16:00:00,120.86
7/22/2015 16:00:00,120.61
7/23/2015 16:00:00,119.33
7/24/2015 16:00:00,117.94
7/27/2015 16:00:00,117.88
7/28/2015 16:00:00,121.52
7/29/2015 16:00:00,121.52
7/30/2015 16:00:00,120.56
7/31/2015 16:00:00,121.4
8/03/2015 16:00,120.89
8/04/2015 16:00,120.84
8/05/2015 16:00,123.92
8/06/2015 16:00,122.04
8/07/2015 16:00,121.82
8/10/2015 16:00,122.48
8/11/2015 16:00,122.26
8/12/2015 16:00,121.2
8/13/2015 16:00:00,120.52
8/14/2015 16:00:00,121.02
8/17/2015 16:00:00,123.82
8/18/2015 16:00:00,125.5
8/19/2015 16:00:00,123.22
8/20/2015 16:00:00,119.79
8/21/2015 16:00:00,116.28
8/24/2015 16:00:00,110.43
8/25/2015 16:00:00,109.98
8/26/2015 16:00:00,113.46
8/27/2015 16:00:00,117.77
8/28/2015 16:00:00,117.28
8/31/2015 16:00:00,115.7
9/01/2015 16:00,112.63
9/02/2015 16:00,114.23
9/03/2015 16:00,113.99
9/04/2015 16:00,112.36
9/08/2015 16:00,116.09
9/09/2015 16:00,115.08
9/10/2015 16:00,116.77
9/11/2015 16:00,118.7
9/14/2015 16:00:00,117.8
9/15/2015 16:00:00,120.03
9/16/2015 16:00:00,121.15
9/17/2015 16:00:00,123.26
9/18/2015 16:00:00,122.47
9/21/2015 16:00:00,123.94
9/22/2015 16:00:00,122.93
9/23/2015 16:00:00,123.28
9/24/2015 16:00:00,121.09
9/25/2015 16:00:00,116.37
9/28/2015 16:00:00,112.7
9/29/2015 16:00:00,114.22
9/30/2015 16:00:00,116.01
10/01/2015 16:00,116.61
10/02/2015 16:00,118.83
10/05/2015 16:00,119.65
10/06/2015 16:00,116.05
10/07/2015 16:00,116.43
10/08/2015 16:00,116.08
10/09/2015 16:00,119.27
10/12/2015 16:00,122.51
10/13/2015 16:00:00,123.99
10/14/2015 16:00:00,122.07
10/15/2015 16:00:00,120.17
10/16/2015 16:00:00,119.98
10/19/2015 16:00:00,120.73
10/20/2015 16:00:00,120.42
10/21/2015 16:00:00,118.11
10/22/2015 16:00:00,113.81
10/23/2015 16:00:00,115.92
10/26/2015 16:00:00,116.53
10/27/2015 16:00:00,119.37
10/28/2015 16:00:00,119.78
10/29/2015 16:00:00,119.71
10/30/2015 16:00:00,117.78
11/02/2015 16:00,118.69
11/03/2015 16:00,117.66
11/04/2015 16:00,114.64
11/05/2015 16:00,116.23
11/06/2015 16:00,114.81
11/09/2015 16:00,114.26
11/10/2015 16:00,115.89
11/11/2015 16:00,114.54
11/12/2015 16:00,112.82
11/13/2015 16:00:00,111.41
11/16/2015 16:00:00,113.82
11/17/2015 16:00:00,114.39
11/18/2015 16:00:00,117.25
11/19/2015 16:00:00,110.63
11/20/2015 16:00:00,112.97
11/23/2015 16:00:00,112.16
11/24/2015 16:00:00,113.19
11/25/2015 16:00:00,114.41
11/27/2015 16:00:00,114.34
11/30/2015 16:00:00,112.71
12/01/2015 16:00,116.26
12/02/2015 16:00,117.64
12/03/2015 16:00,115
12/04/2015 16:00,117.74
12/07/2015 16:00,115.91
12/08/2015 16:00,115.88
12/09/2015 16:00,115.05
12/10/2015 16:00,116.21
12/11/2015 16:00,115.98
12/14/2015 16:00:00,115.85
12/15/2015 16:00:00,117.61
12/16/2015 16:00:00,118.83
12/17/2015 16:00:00,119.22
12/18/2015 16:00:00,115.82
12/21/2015 16:00:00,117.41
12/22/2015 16:00:00,117.44
12/23/2015 16:00:00,118.69
12/24/2015 16:00:00,118.34
12/28/2015 16:00:00,118.33
12/29/2015 16:00:00,119.82
12/30/2015 16:00:00,118.92
12/31/2015 16:00:00,117.64
1/04/2016 16:00,116.46
1/05/2016 16:00,116.68
1/06/2016 16:00,115.49
1/07/2016 16:00,112.09
1/08/2016 16:00,110.16
1/11/2016 16:00,109.58
1/12/2016 16:00,112.26
1/13/2016 16:00:00,109.23
1/14/2016 16:00:00,110.76
1/15/2016 16:00:00,109.27
1/19/2016 16:00:00,112.58
1/20/2016 16:00:00,114.79
1/21/2016 16:00:00,113.5
1/22/2016 16:00:00,114.33
1/25/2016 16:00:00,113.38
1/26/2016 16:00:00,113.96
1/27/2016 16:00:00,112.33
1/28/2016 16:00:00,111.38
1/29/2016 16:00:00,115.16
2/01/2016 16:00,115.89
2/02/2016 16:00,113.88
2/03/2016 16:00,112.75
2/04/2016 16:00,114.2
