Date,WES
1/02/2015 16:00,30.07
1/05/2015 16:00,30.04
1/06/2015 16:00,29.92
1/07/2015 16:00,29.73
1/08/2015 16:00,30
1/09/2015 16:00,30.65
1/12/2015 16:00,30.45
1/13/2015 16:00:00,30.49
1/14/2015 16:00:00,30.25
1/15/2015 16:00:00,30.57
1/16/2015 16:00:00,30.58
1/19/2015 16:00:00,30.48
1/20/2015 16:00:00,30.55
1/21/2015 16:00:00,31.19
1/22/2015 16:00:00,31.29
1/23/2015 16:00:00,30.96
1/27/2015 16:00:00,31.35
1/28/2015 16:00:00,31.18
1/29/2015 16:00:00,31.36
1/30/2015 16:00:00,31.28
2/02/2015 16:00,31.56
2/03/2015 16:00,31.69
2/04/2015 16:00,31.95
2/05/2015 16:00,32.08
2/06/2015 16:00,32.12
2/09/2015 16:00,31.9
2/10/2015 16:00,31.69
2/11/2015 16:00,31.71
2/12/2015 16:00,31.45
2/13/2015 16:00:00,32.05
2/16/2015 16:00:00,32.11
2/17/2015 16:00:00,32.47
2/18/2015 16:00:00,32.93
2/19/2015 16:00:00,32.42
2/20/2015 16:00:00,33.29
2/23/2015 16:00:00,33.52
2/24/2015 16:00:00,32.62
2/25/2015 16:00:00,32.72
2/26/2015 16:00:00,32.61
2/27/2015 16:00:00,31.46
3/02/2015 16:00,31.07
3/03/2015 16:00,31.33
3/04/2015 16:00,31.04
3/05/2015 16:00,31.41
3/06/2015 16:00,31.52
3/09/2015 16:00,31.29
3/10/2015 16:00,31.29
3/11/2015 16:00,31.25
3/12/2015 16:00,31.33
3/13/2015 16:00:00,31.11
3/16/2015 16:00:00,31.19
3/17/2015 16:00:00,31.52
3/18/2015 16:00:00,31.5
3/19/2015 16:00:00,31.61
3/20/2015 16:00:00,31.7
3/23/2015 16:00:00,31.56
3/24/2015 16:00:00,31.73
3/25/2015 16:00:00,31.62
3/26/2015 16:00:00,31.15
3/27/2015 16:00:00,31.62
3/30/2015 16:00:00,31.23
3/31/2015 16:00:00,31.54
4/01/2015 16:00,31.25
4/02/2015 16:00,31.22
4/07/2015 16:00,31.26
4/08/2015 16:00,31.46
4/09/2015 16:00,31.37
4/10/2015 16:00,31.86
4/13/2015 16:00:00,31.73
4/14/2015 16:00:00,31.43
4/15/2015 16:00:00,31.11
4/16/2015 16:00:00,31.29
4/17/2015 16:00:00,30.85
4/20/2015 16:00:00,30.5
4/21/2015 16:00:00,30.67
4/22/2015 16:00:00,30.46
4/23/2015 16:00:00,30.23
4/24/2015 16:00:00,30.59
4/27/2015 16:00:00,30.98
4/28/2015 16:00:00,30.96
4/29/2015 16:00:00,30.85
4/30/2015 16:00:00,31.36
5/01/2015 16:00,31.31
5/04/2015 16:00,31.79
5/06/2015 16:00,31.82
5/07/2015 16:00,31.43
5/08/2015 16:00,31.39
5/11/2015 16:00,31.11
5/12/2015 16:00,31.21
5/13/2015 16:00:00,31.68
5/14/2015 16:00:00,31.98
5/15/2015 16:00:00,32.27
5/18/2015 16:00:00,31.93
5/19/2015 16:00:00,31.36
5/20/2015 16:00:00,31.16
5/21/2015 16:00:00,31.11
5/22/2015 16:00:00,31.09
5/25/2015 16:00:00,31.5
5/26/2015 16:00:00,31.63
5/27/2015 16:00:00,31.14
5/28/2015 16:00:00,31.29
5/29/2015 16:00:00,31.33
6/01/2015 16:00,30.8
6/02/2015 16:00,30.41
6/03/2015 16:00,30.22
6/04/2015 16:00,29.74
6/05/2015 16:00,30.01
6/09/2015 16:00,29.62
6/10/2015 16:00,29.81
6/11/2015 16:00,29.72
6/12/2015 16:00,29.64
6/15/2015 16:00:00,29.5
6/16/2015 16:00:00,29.65
6/17/2015 16:00:00,29.71
6/18/2015 16:00:00,28.85
6/19/2015 16:00:00,28.85
6/22/2015 16:00:00,28.9
6/23/2015 16:00:00,29.05
6/24/2015 16:00:00,29.02
6/25/2015 16:00:00,28.64
6/26/2015 16:00:00,28.33
6/29/2015 16:00:00,27.78
6/30/2015 16:00:00,28.01
7/01/2015 16:00,28.16
7/02/2015 16:00,28.67
